bldg_id,street_address,zip_code,last_reg,rc_count,docket_no,case_type,case_status,filing_date,closing_date,close_code,staff_id,mci_item,claim_cost,allow_cost,wk_beg_dt
204981,2220 ADAMS PL BRONX NY,10457,2020,0,GW610011OM,OM,CLOSED,11/9/18,1/10/20,DE,ROM-00003-20,HOT WATER HEATER,17500,0,7/1/18
204981,2220 ADAMS PL BRONX NY,10457,2020,0,GW610011OM,OM,CLOSED,11/9/18,1/10/20,DE,ROM-00003-20,NEW ROOF,12980,0,5/1/17
204981,2220 ADAMS PL BRONX NY,10457,2020,0,GW610011OM,OM,CLOSED,11/9/18,1/10/20,DE,ROM-00003-20,TV/SECURITY SYSTEM,9200,0,11/1/17
204981,2220 ADAMS PL BRONX NY,10457,2020,0,GW610011OM,OM,CLOSED,11/9/18,1/10/20,DE,ROM-00003-20,POINTNG & WATERPROOF,36445,0,5/1/17
221419,3130 ALBANY CRES BRONX NY,10463,2020,0,DP610055OM,OM,CLOSED,4/9/15,12/5/16,GP,ROM-00124-16,BURNER,85100,84285,9/26/12
215604,134 ALEXANDER AVE BRONX NY,10454,2020,0,CM610048X,X,CLOSED,1/21/14,1/27/14,CW,RX-00001-14,N/A,N/A,N/A,N/A
206720,665 ALLERTON AVE BRONX NY,10467,2020,1,EM630016OM,OM,CLOSED,1/8/16,6/7/16,GP,ROM-00063-16,ROOF | POINTNG | LINTELS,204275,201775,8/11/15
206720,665 ALLERTON AVE BRONX NY,10467,2020,1,EM630016OM,OM,CLOSED,1/8/16,6/7/16,GP,ROM-00063-16,TV/SECURITY SYSTEM,21600,21600,9/4/15
206720,665 ALLERTON AVE BRONX NY,10467,2020,1,FW630018X,X,CLOSED,11/22/17,11/24/17,GR,RX-00006-17,N/A,N/A,N/A,N/A
206718,690 ALLERTON AVE BRONX NY,10467,2020,0,EM610015OM,OM,CLOSED,1/8/16,8/17/16,GP,RRT-00013-16,NEW ROOF,67950,60000,8/18/15
206718,690 ALLERTON AVE BRONX NY,10467,2020,0,EM610015OM,OM,CLOSED,1/8/16,8/17/16,GP,RRT-00013-16,TV/SECURITY SYSTEM,32400,27953.32,7/15/15
214433,1150 ANDERSON AVE BRONX NY,10452,2020,0,IU610007OM,OM,OPEN,9/15/20,N/A,NONE,MRM2,ELEVATOR UPGRADING,300000,0,7/16/18
214433,1150 ANDERSON AVE BRONX NY,10452,2020,0,IU610007OM,OM,OPEN,9/15/20,N/A,NONE,MRM2,INTERCOM,5400,0,1/22/19
209634,1130 ANDERSON AVE BRONX NY,10452,2020,0,YB630017OM,OM,CLOSED,2/16/10,9/23/10,GR,RXX-000922-18,ELEVATOR UPGRADING,103850,103850,6/30/09
209634,1130 ANDERSON AVE BRONX NY,10452,2020,0,BX630003X,X,CLOSED,12/3/13,12/3/13,CW,RX-00009-13,N/A,N/A,N/A,N/A
209634,1130 ANDERSON AVE BRONX NY,10452,2020,0,DP610010X,X,CLOSED,4/2/15,7/16/15,GR,RX-00006-15,N/A,N/A,N/A,N/A
209634,1130 ANDERSON AVE BRONX NY,10452,2020,0,GM610075OM,OM,CLOSED,1/18/18,2/11/20,GP,A1A99,BOILER/BURNER,184950,171769.5,12/29/14
210978,1172 ANDERSON AVE BRONX NY,10452,2020,0,CR610003X,X,CLOSED,6/9/14,6/13/14,CW,RX-00009-14,N/A,N/A,N/A,N/A
210437,1187 ANDERSON AVE BRONX NY,10452,2019,0,CT610016X,X,CLOSED,8/20/14,9/2/14,CW,RX-00006-14,N/A,N/A,N/A,N/A
201192,2272 ANDREWS AVE BRONX NY,10468,2020,0,GV610102OM,OM,OPEN,10/26/18,N/A,NONE,MFG,BOILER/BURNER,161500,0,8/11/17
225984,1705 ANDREWS AVE BRONX NY,10453,2020,0,YI630104X,X,CLOSED,9/22/10,9/27/10,CW,RX-00001-12,N/A,N/A,N/A,N/A
201186,1944 ANDREWS AVE BRONX NY,10453,2018,1,ZC630021X,X,CLOSED,3/28/11,4/7/11,CW,RXX-000104-20,N/A,N/A,N/A,N/A
203721,2266 ANDREWS AVE BRONX NY,10468,2018,0,ER610033OM,OM,CLOSED,6/6/16,9/21/17,GP,ROM-00075-17,EXTERIOR RESTORATION,65749,56779.9,7/15/15
203721,2266 ANDREWS AVE BRONX NY,10468,2018,0,ER610033OM,OM,CLOSED,6/6/16,9/21/17,GP,ROM-00075-17,ARCHITECT CONSULT.,1080,1080,8/12/15
215846,2285 ANDREWS AVE BRONX NY,10468,2019,0,FT610041OM,OM,CLOSED,8/15/17,4/25/18,GP,RRT-00035-19,BOILER/BURNER,189506.27,183890.77,3/6/15
210967,2296 ANDREWS AVE BRONX NY,10468,2020,0,GS610072OM,OM,OPEN,7/12/18,N/A,NONE,MSM,GAS PIPING,63409.5,0,5/24/16
208176,2321 ANDREWS AVE BRONX NY,10468,2020,0,XJ610112OM,OM,CLOSED,10/22/09,12/3/10,DE,RXX-000922-18,BOILER/BURNER,75353.94,0,11/1/07
208176,2321 ANDREWS AVE BRONX NY,10468,2020,0,XJ610112OM,OM,CLOSED,10/22/09,12/3/10,DE,RXX-000922-18,INTERCOM SYSTEM,3197.06,0,12/9/08
203882,2277 ANDREWS AVE N BRONX NY,10468,2020,0,YH610046X,X,CLOSED,8/18/10,8/20/10,CW,RXX-000104-20,N/A,N/A,N/A,N/A
203882,2277 ANDREWS AVE N BRONX NY,10468,2020,0,GS610024X,X,CLOSED,7/20/18,7/20/18,CW,RX-00002-18,N/A,N/A,N/A,N/A
209709,1660 ANDREWS AVE S BRONX NY,10453,2020,0,YI630103X,X,CLOSED,9/22/10,9/27/10,CW,RXX-000104-20,N/A,N/A,N/A,N/A
201819,1917 ANDREWS AVE S BRONX NY,10453,2020,0,GR610072OM,OM,CLOSED,6/25/18,2/7/19,GR,ROM-00012-19,BLDG. ENTRANCE DOOR,7995,7995,6/28/16
210013,1929 ANDREWS AVE S BRONX NY,10453,2020,0,DM610008X,X,CLOSED,1/15/15,4/5/18,VO,MX99,N/A,N/A,N/A,N/A
212739,1646 ANTHONY AVE BRONX NY,10457,2020,0,YG610007X,X,CLOSED,7/13/10,2/18/11,GR,RXX-000104-20,N/A,N/A,N/A,N/A
212739,1646 ANTHONY AVE BRONX NY,10457,2020,0,ER610072OM,OM,CLOSED,6/28/16,1/9/17,GP,ROM-00004-17,BOILER/BURNER,172825,160325,1/22/14
208854,1687 ANTHONY AVE BRONX NY,10457,2019,0,XH610097X,X,CLOSED,8/21/09,1/7/10,GP,RXX-000811-18,N/A,N/A,N/A,N/A
208188,1818 ANTHONY AVE BRONX NY,10457,2020,0,FU610019OM,OM,CLOSED,9/5/17,12/28/17,DE,ROM-00101-17,LIGHTING UPGRADE,16395,0,12/23/16
208188,1818 ANTHONY AVE BRONX NY,10457,2020,0,GV610088OM,OM,CLOSED,10/15/18,12/20/19,GP,ROM-00056-19,HOT WATER HEATER,248760,0,9/8/17
208188,1818 ANTHONY AVE BRONX NY,10457,2020,0,GV610088OM,OM,CLOSED,10/15/18,12/20/19,GP,ROM-00056-19,POINTNG & WATERPROOF,248760,248760,9/8/17
208188,1818 ANTHONY AVE BRONX NY,10457,2020,0,HQ610063OM,OM,OPEN,5/14/19,N/A,GP,MJC,BOILER/BURNER,296350,0,5/17/18
208188,1818 ANTHONY AVE BRONX NY,10457,2020,0,HT610012OM,OM,CLOSED,8/22/19,8/21/20,DE,M66,BOILER/GAS CONVERS'N,296350,0,5/17/18
215762,2077 ANTHONY AVE BRONX NY,10457,2020,1,XI630033OM,OM,CLOSED,9/25/09,4/16/10,GR,RXX-000915-18,SECURITY CAMERAS,12040,12040,11/10/07
215762,2077 ANTHONY AVE BRONX NY,10457,2020,1,XI630033OM,OM,CLOSED,9/25/09,4/16/10,GR,RXX-000915-18,MAIN ENTRANCE DOORS,7950,7950,11/15/07
